date,AAPL,GOOGL,MSFT,AMZN,TSLA,NVDA,META,NFLX,AMD,CRM
2024-12-30,252.2,191.24,424.83,221.3,417.41,137.49,591.24,900.43,122.44,335.74
2024-12-31,250.42,189.3,421.5,219.39,403.84,134.29,585.51,891.32,120.79,334.33
2025-01-02,243.85,189.43,418.58,220.22,379.28,138.31,599.24,886.73,120.63,330.66
2025-01-03,243.36,191.79,423.35,224.19,410.44,144.47,604.63,881.05,125.37,332.9
2025-01-06,245.0,196.87,427.85,227.61,411.05,149.43,630.2,881.79,129.55,330.53
2025-01-07,242.21,195.49,422.37,222.11,394.36,140.14,617.89,879.19,127.33,324.93
2025-01-08,242.7,193.95,424.56,222.13,394.94,140.11,610.72,875.0,121.84,326.9
2025-01-10,236.85,192.04,418.95,218.94,394.74,135.91,615.86,837.69,116.04,317.85
2025-01-13,234.4,191.01,417.19,218.46,403.31,133.23,608.33,840.29,117.32,319.07
2025-01-14,233.28,189.66,415.67,217.76,396.36,131.76,594.25,828.4,116.09,323.54
2025-01-15,237.87,195.55,426.31,223.35,428.22,136.24,617.12,848.26,119.96,321.16
2025-01-16,228.26,192.91,424.58,220.66,413.82,133.57,611.3,842.37,118.44,320.0
2025-01-17,229.98,196.0,429.03,225.94,426.5,137.71,612.77,858.1,121.46,324.56
2025-01-21,222.64,198.05,428.5,230.71,424.07,140.83,616.46,869.68,122.28,326.84
2025-01-22,223.83,198.37,446.2,235.01,415.11,147.07,623.5,953.99,123.75,332.62
2025-01-23,223.66,197.98,446.71,235.42,412.38,147.22,636.45,984.86,123.04,334.66
2025-01-24,222.78,200.21,444.06,234.85,406.58,142.62,647.49,977.59,122.84,333.88
2025-01-27,229.86,191.81,434.56,235.42,397.15,118.42,659.88,971.89,115.01,347.1
2025-01-28,238.26,195.3,447.2,238.15,398.09,128.99,674.33,971.83,114.17,359.95
2025-01-29,239.36,195.41,442.33,237.07,389.1,123.7,676.49,978.15,117.35,354.0
2025-01-30,237.59,200.87,414.99,234.64,400.28,124.65,687.0,973.24,118.86,343.57
2025-01-31,236.0,204.02,415.06,237.68,404.6,120.07,689.18,976.76,115.95,341.7
2025-02-03,228.01,201.23,410.92,237.42,383.68,116.66,697.46,978.94,114.27,339.24
2025-02-04,232.8,206.38,412.37,242.06,392.21,118.65,704.19,994.87,119.5,344.14
2025-02-05,232.47,191.33,413.29,236.17,378.17,124.83,704.87,1011.11,112.01,347.93
2025-02-06,233.22,191.6,415.82,238.83,374.32,128.68,711.99,1015.68,110.16,330.81
2025-02-07,227.63,185.34,409.75,229.15,361.62,129.84,714.52,1013.93,107.56,325.83
2025-02-10,227.65,186.47,412.22,233.14,350.73,133.57,717.4,1027.6,110.48,327.2
2025-02-11,232.62,185.32,411.44,232.76,328.5,132.8,719.8,1008.08,111.1,324.4
2025-02-12,236.87,183.61,409.04,228.93,336.51,131.14,725.38,1027.31,111.72,326.12
2025-02-13,241.53,186.14,410.54,230.37,355.94,135.29,728.56,1043.69,111.81,329.85
2025-02-14,244.6,185.23,408.43,228.68,355.84,138.85,736.67,1058.6,113.1,326.54
2025-02-18,244.47,183.77,409.64,226.65,354.11,139.4,716.37,1035.85,114.28,328.96
2025-02-19,244.87,185.27,414.77,226.63,360.56,139.23,703.77,1043.33,114.69,324.53
2025-02-20,245.83,184.56,416.13,222.88,354.4,140.11,694.84,1024.54,114.17,318.43
2025-02-21,245.55,179.66,408.21,216.58,337.8,134.43,683.55,1003.15,110.84,309.8
2025-02-24,247.1,179.25,404.0,212.71,330.53,130.28,668.13,988.47,108.11,308.32
2025-02-25,247.04,175.42,397.9,212.8,302.8,126.63,657.5,977.24,103.96,305.88
2025-02-26,240.36,172.73,399.73,214.35,290.8,131.28,673.7,990.06,104.74,307.33
2025-02-27,237.3,168.5,392.53,208.74,281.95,120.15,658.24,963.07,99.51,294.9
2025-02-28,241.84,170.28,396.99,212.28,292.98,124.92,668.2,980.56,99.86,297.85
2025-03-03,238.03,167.01,388.49,205.02,284.65,114.06,655.05,973.7,98.23,293.06
2025-03-04,235.93,170.92,388.61,203.8,272.04,115.99,640.0,972.58,100.75,287.34
2025-03-05,235.74,173.02,401.02,208.36,279.1,117.3,656.47,990.92,101.67,291.97
2025-03-06,235.33,172.35,396.89,200.7,263.45,110.57,627.93,906.36,98.85,286.05
2025-03-07,239.07,173.86,393.31,199.25,262.67,112.69,625.66,891.11,100.31,282.89
2025-03-10,227.48,165.87,380.16,194.54,222.15,106.98,597.99,866.68,96.63,272.9
2025-03-11,220.84,164.04,380.45,196.59,230.58,108.76,605.71,895.1,96.76,277.05
2025-03-12,216.98,167.11,383.27,198.89,248.09,115.74,619.56,919.68,100.79,284.58
2025-03-13,209.68,162.76,378.77,193.89,240.68,115.58,590.64,890.17,98.11,271.74
2025-03-14,213.49,165.49,388.56,197.95,249.98,121.67,607.6,918.0,100.97,279.4
2025-03-17,214.0,164.29,388.7,195.74,238.01,119.53,604.9,950.02,104.59,280.75
2025-03-18,212.69,160.67,383.52,192.82,225.31,115.43,582.36,929.98,103.51,278.73
2025-03-19,215.24,163.89,387.82,195.54,235.86,117.52,584.06,959.49,106.23,279.39
2025-03-20,214.1,162.8,386.84,194.95,236.26,118.53,586.0,950.84,107.14,279.03
2025-03-21,218.27,163.99,391.26,196.21,248.71,117.7,596.25,960.29,106.44,280.62
2025-03-24,220.73,167.68,393.08,203.26,278.39,121.41,618.85,971.99,113.85,285.96
2025-03-25,223.75,170.56,395.16,205.71,288.14,120.69,626.31,997.28,114.81,288.61
2025-03-26,221.53,165.06,389.97,201.13,272.06,113.76,610.98,970.65,110.19,280.99
2025-03-27,223.85,162.24,390.58,201.36,273.13,111.43,602.58,976.72,106.65,277.81
2025-03-28,217.9,154.33,378.8,192.72,263.55,109.67,576.74,933.85,103.22,269.97
2025-03-31,222.13,154.64,375.39,190.26,259.16,108.38,576.36,932.53,102.74,268.36
2025-04-01,223.19,157.07,382.19,192.17,268.46,110.15,586.0,928.38,102.78,270.2
2025-04-02,223.89,157.04,382.14,196.01,282.76,110.42,583.93,935.52,102.96,271.54
2025-04-03,203.19,150.72,373.11,178.41,267.28,101.8,531.62,917.05,93.8,255.23
2025-04-04,188.38,145.6,359.84,171.0,239.43,94.31,504.73,855.86,85.76,240.76
2025-04-07,181.46,146.75,357.86,175.26,233.29,97.64,516.25,867.83,83.64,244.21
2025-04-08,172.42,144.7,354.56,170.66,221.86,96.3,510.45,870.4,78.21,243.99
2025-04-09,198.85,158.71,390.49,191.1,272.2,114.33,585.77,945.47,96.84,265.17
2025-04-10,190.42,152.82,381.35,181.22,252.4,107.57,546.29,921.17,88.7,255.12
2025-04-11,198.15,157.14,388.45,184.87,252.31,110.93,543.57,918.29,93.4,255.0
2025-04-14,202.52,159.07,387.81,182.12,252.35,110.71,531.48,931.28,94.5,254.55
2025-04-15,202.14,156.31,385.73,179.59,254.11,112.2,521.52,976.28,95.29,254.93
2025-04-16,194.27,153.33,371.61,174.33,241.55,104.49,502.31,961.63,88.29,249.84
2025-04-17,196.98,151.16,367.78,172.61,241.37,101.49,501.48,973.03,87.5,247.26
2025-04-21,193.16,147.67,359.12,167.32,227.5,96.91,484.66,987.91,85.56,236.26
2025-04-22,199.74,151.47,366.82,173.18,237.97,98.89,500.28,1040.34,86.26,243.39
2025-04-23,204.6,155.35,374.39,180.6,250.74,102.71,520.27,1049.59,90.39,250.48
2025-04-24,208.37,159.28,387.3,186.54,259.51,106.43,533.15,1096.87,94.47,264.7
2025-04-25,209.28,161.96,391.85,188.99,284.95,111.01,547.27,1101.53,96.645,267.85
2025-04-28,210.14,160.61,391.16,187.7,285.88,108.73,549.74,1110.38,96.39,265.64
2025-04-29,211.21,160.16,394.04,187.39,292.03,109.02,554.44,1125.64,96.06,267.76
2025-04-30,212.5,158.8,395.26,184.42,282.16,108.92,549.0,1131.72,97.35,268.71
2025-05-01,213.32,161.3,425.4,190.2,280.52,111.61,572.21,1133.47,96.65,269.33
2025-05-02,205.35,164.03,435.28,189.98,287.21,114.5,597.02,1156.49,98.8,275.08
2025-05-05,198.89,164.21,436.17,186.35,280.26,113.82,599.27,1134.06,100.59,272.63
2025-05-06,198.51,163.23,433.31,185.01,275.35,113.54,587.31,1137.69,98.62,273.36
2025-05-07,196.25,151.38,433.35,188.71,276.22,117.06,596.81,1155.41,100.36,278.23
2025-05-08,197.49,154.28,438.17,192.08,284.82,117.37,598.01,1144.43,101.7,279.74
2025-05-09,198.53,152.75,438.73,193.06,298.26,116.65,592.49,1140.22,102.84,275.42
2025-05-12,210.79,158.46,449.26,208.64,318.38,123.0,639.43,1110.0,108.12,288.82
2025-05-13,212.93,159.53,449.14,211.37,334.07,129.93,656.03,1138.44,112.46,289.17
2025-05-14,212.33,165.37,452.94,210.25,347.68,135.34,659.36,1150.99,117.72,290.74
2025-05-15,211.45,163.96,453.13,205.17,342.82,134.83,643.88,1177.98,114.99,290.76
2025-05-16,211.26,166.19,454.27,205.59,349.98,135.4,640.34,1191.53,117.17,291.15
2025-05-19,208.78,166.54,458.87,206.16,342.09,135.57,640.43,1191.64,114.74,287.63
2025-05-20,206.86,163.98,458.17,204.07,343.82,134.38,637.1,1192.02,113.51,288.06
2025-05-21,202.09,168.56,452.57,201.12,334.62,131.8,635.5,1194.63,112.06,282.28
2025-05-22,201.36,170.87,454.86,203.1,341.04,132.83,636.57,1187.97,110.71,283.42
2025-05-23,195.27,168.47,450.18,200.99,339.34,131.29,627.06,1185.39,110.31,273.13
